epoch, minibatch, validation error, test error,
1,14/14,62.323390894819475,56.043956043956044,
2,14/14,62.07221350078493,56.043956043956044,
3,14/14,60.094191522762955,56.043956043956044,
4,14/14,52.40188383045526,56.043956043956044,
5,14/14,46.37362637362637,56.043956043956044,
6,14/14,44.70957613814757,56.00732600732601,
7,14/14,44.018838304552595,56.00732600732601,
8,14/14,43.86185243328101,56.00732600732601,
9,14/14,43.64207221350079,55.97069597069597,
10,14/14,43.98744113029828,0,
11,14/14,44.67817896389326,0,
12,14/14,45.839874411302986,0,
13,14/14,46.5934065934066,0,
14,14/14,47.22135007849294,0,
15,14/14,49.105180533751955,0,
16,14/14,54.59968602825745,0,
17,14/14,75.16483516483517,0,
18,14/14,68.85400313971743,0,
19,14/14,70.17268445839875,0,
20,14/14,68.10047095761381,0,
21,14/14,70.01569858712715,0,
22,14/14,76.04395604395604,0,
23,14/14,78.58712715855573,0,
24,14/14,78.43014128728414,0,
25,14/14,77.58241758241759,0,
26,14/14,76.45211930926217,0,
27,14/14,75.6043956043956,0,
28,14/14,74.75667189952905,0,
29,14/14,73.12401883830456,0,
30,14/14,71.71114599686028,0,
31,14/14,70.10989010989012,0,
32,14/14,68.69701726844585,0,
33,14/14,65.24332810047096,0,
34,14/14,63.98744113029827,0,
35,14/14,63.23390894819466,0,
36,14/14,62.85714285714287,0,
37,14/14,62.79434850863422,0,
38,14/14,62.9199372056515,0,
39,14/14,62.9199372056515,0,
40,14/14,62.88854003139718,0,
41,14/14,62.79434850863422,0,
42,14/14,62.76295133437991,0,
43,14/14,62.543171114599694,0,
44,14/14,61.601255886970186,0,
45,14/14,59.811616954474104,0,
46,14/14,58.712715855572995,0,
47,14/14,58.05337519623234,0,
48,14/14,57.77080062794349,0,
49,14/14,57.708006279434855,0,
50,14/14,57.708006279434855,0,
51,14/14,57.708006279434855,0,
52,14/14,57.64521193092621,0,
53,14/14,57.64521193092621,0,
54,14/14,57.6138147566719,0,
55,14/14,57.58241758241758,0,
56,14/14,57.67660910518053,0,
57,14/14,57.67660910518053,0,
58,14/14,57.708006279434855,0,
59,14/14,57.708006279434855,0,
60,14/14,57.739403453689164,0,
61,14/14,57.739403453689164,0,
62,14/14,57.739403453689164,0,
63,14/14,57.739403453689164,0,
64,14/14,57.739403453689164,0,
65,14/14,57.77080062794349,0,
66,14/14,57.77080062794349,0,
67,14/14,57.802197802197796,0,
68,14/14,57.802197802197796,0,
69,14/14,57.802197802197796,0,
70,14/14,57.86499215070643,0,
71,14/14,57.927786499215074,0,
72,14/14,57.95918367346938,0,
73,14/14,58.021978021978015,0,
74,14/14,58.05337519623234,0,
75,14/14,58.05337519623234,0,
76,14/14,58.08477237048665,0,
77,14/14,58.08477237048665,0,
78,14/14,58.11616954474097,0,
79,14/14,58.11616954474097,0,
80,14/14,58.210361067503925,0,
81,14/14,58.210361067503925,0,
82,14/14,58.210361067503925,0,
83,14/14,58.210361067503925,0,
84,14/14,58.210361067503925,0,
85,14/14,58.241758241758234,0,
86,14/14,58.36734693877551,0,
87,14/14,58.39874411302982,0,
88,14/14,58.430141287284144,0,
89,14/14,58.430141287284144,0,
90,14/14,58.430141287284144,0,
91,14/14,58.46153846153845,0,
92,14/14,58.492935635792776,0,
93,14/14,58.524332810047085,0,
94,14/14,58.524332810047085,0,
95,14/14,58.524332810047085,0,
96,14/14,58.524332810047085,0,
97,14/14,58.524332810047085,0,
98,14/14,58.524332810047085,0,
99,14/14,58.524332810047085,0,
100,14/14,58.492935635792776,0,
end time = 13448.183168333
