epoch, minibatch, validation error, test error,
1,14/14,62.323390894819475,56.043956043956044,
2,14/14,62.323390894819475,0,
3,14/14,62.323390894819475,0,
4,14/14,62.323390894819475,0,
5,14/14,62.323390894819475,0,
6,14/14,62.323390894819475,0,
7,14/14,62.323390894819475,0,
8,14/14,62.323390894819475,0,
9,14/14,62.323390894819475,0,
10,14/14,62.323390894819475,0,
11,14/14,62.323390894819475,0,
12,14/14,62.323390894819475,0,
13,14/14,62.323390894819475,0,
14,14/14,62.323390894819475,0,
15,14/14,62.323390894819475,0,
16,14/14,62.323390894819475,0,
17,14/14,62.323390894819475,0,
18,14/14,62.323390894819475,0,
19,14/14,62.323390894819475,0,
20,14/14,62.323390894819475,0,
21,14/14,62.323390894819475,0,
22,14/14,61.821036106750405,56.043956043956044,
23,14/14,59.68602825745683,55.934065934065934,
24,14/14,53.62637362637363,53.333333333333336,
25,14/14,50.518053375196224,50.54945054945055,
26,14/14,51.5541601255887,0,
27,14/14,62.76295133437991,0,
28,14/14,62.73155416012559,0,
29,14/14,68.60282574568289,0,
30,14/14,70.20408163265307,0,
31,14/14,67.6923076923077,0,
32,14/14,67.97488226059654,0,
33,14/14,73.53218210361067,0,
34,14/14,77.86499215070644,0,
35,14/14,79.90580847723706,0,
36,14/14,79.0894819466248,0,
37,14/14,77.14285714285715,0,
38,14/14,74.6938775510204,0,
39,14/14,73.43799058084774,0,
40,14/14,70.2668759811617,0,
41,14/14,67.78649921507063,0,
42,14/14,64.70957613814757,0,
43,14/14,62.98273155416013,0,
44,14/14,62.605965463108326,0,
45,14/14,62.70015698587128,0,
46,14/14,62.70015698587128,0,
47,14/14,62.70015698587128,0,
48,14/14,62.76295133437991,0,
49,14/14,62.19780219780221,0,
50,14/14,60.06279434850864,0,
51,14/14,58.39874411302982,0,
52,14/14,57.45682888540031,0,
53,14/14,57.45682888540031,0,
54,14/14,57.519623233908945,0,
55,14/14,57.55102040816327,0,
56,14/14,57.58241758241758,0,
57,14/14,57.6138147566719,0,
58,14/14,57.67660910518053,0,
59,14/14,57.708006279434855,0,
60,14/14,57.708006279434855,0,
61,14/14,57.739403453689164,0,
62,14/14,57.83359497645212,0,
63,14/14,57.86499215070643,0,
64,14/14,57.95918367346938,0,
65,14/14,57.95918367346938,0,
66,14/14,57.927786499215074,0,
67,14/14,57.927786499215074,0,
68,14/14,57.927786499215074,0,
69,14/14,57.927786499215074,0,
70,14/14,57.95918367346938,0,
71,14/14,57.927786499215074,0,
72,14/14,57.927786499215074,0,
73,14/14,57.89638932496075,0,
74,14/14,57.86499215070643,0,
75,14/14,57.86499215070643,0,
76,14/14,57.89638932496075,0,
77,14/14,57.927786499215074,0,
78,14/14,57.95918367346938,0,
79,14/14,57.990580847723706,0,
80,14/14,57.95918367346938,0,
81,14/14,57.927786499215074,0,
82,14/14,57.927786499215074,0,
83,14/14,57.927786499215074,0,
84,14/14,58.021978021978015,0,
85,14/14,58.08477237048665,0,
86,14/14,58.14756671899529,0,
87,14/14,58.1789638932496,0,
88,14/14,58.304552590266866,0,
89,14/14,58.304552590266866,0,
90,14/14,58.33594976452119,0,
91,14/14,58.33594976452119,0,
92,14/14,58.33594976452119,0,
93,14/14,58.33594976452119,0,
94,14/14,58.33594976452119,0,
95,14/14,58.33594976452119,0,
96,14/14,58.33594976452119,0,
97,14/14,58.304552590266866,0,
98,14/14,58.33594976452119,0,
99,14/14,58.36734693877551,0,
100,14/14,58.39874411302982,0,
end time = 43398.165975172
