epoch, minibatch, validation error, test error,
1,64/64,46.454545454545446,40.0,
2,64/64,81.81818181818183,0,
3,64/64,61.81818181818181,0,
4,64/64,63.63636363636363,0,
5,64/64,81.81818181818183,0,
6,64/64,81.81818181818183,0,
7,64/64,44.57575757575757,43.166666666666664,
8,64/64,45.18181818181819,0,
9,64/64,44.515151515151516,43.3,
10,64/64,42.27272727272727,54.966666666666676,
11,64/64,39.151515151515156,60.0,
12,64/64,39.515151515151516,0,
13,64/64,38.84848484848485,60.0,
14,64/64,31.151515151515152,60.0,
15,64/64,16.818181818181817,60.0,
16,64/64,14.545454545454545,52.2,
17,64/64,13.96969696969697,39.83333333333333,
18,64/64,10.212121212121213,21.299999999999997,
19,64/64,9.303030303030301,20.099999999999998,
20,64/64,9.090909090909092,20.099999999999998,
21,64/64,9.06060606060606,20.099999999999998,
